"","Rede.Rodoviária","Rede.Rodoviária.Clandestina","Área.Devastada","População","Renda.domiciliar.per.capita","Taxa.de.desemprego","Homicídios","PIB","Exportação","Analfabetos"
"15",32706.9460441341,12320.9388964441,6075.37914810041,4840842.48317459,602.707689742112,9.15786734671288,650.812646985799,39550208.3217554,643792526.321852,13.7711712409254
"16",32713.5377956334,12379.3724559181,6024.53187070446,4846947.93223193,606.424451058921,9.15821312858147,654.469016587217,39651344.947579,647496691.244396,13.7707678872768
"17",32720.1296278646,12437.8072624034,5975.25281931099,4853305.97715869,609.457826129327,9.15854160542231,658.054775713131,39757024.1112699,651222179.768118,13.7662593580315
"18",32726.7215408278,12496.2433159,5927.47396670913,4859901.47110246,611.831703302323,9.15885493682939,661.572083957536,39866879.0700356,654969126.595748,13.757870250965
"19",32733.3135345229,12554.680616408,5881.12728568798,4866719.26721088,613.569970926898,9.1591552823967,665.023100914429,39980543.0810839,658737666.43002,13.745825163853
"20",32739.90560895,12613.1191639273,5836.14474903667,4873744.21863153,614.696517352042,9.15944480171824,668.409986177807,40097649.4016222,662527933.973664,13.7303486944711
"21",32746.497764109,12671.558958458,5792.4583295443,4880961.17851204,615.235230926746,9.15972565438801,671.734899341665,40217831.2888584,666340063.929414,13.7116654405949
"22",32753.09,12730,5750,4888355,615.21,9.16,675,40340722,670174191,13.69
"23",32759.6823127786,12788.4422291719,5708.68752439608,4895903.05193172,614.646492940581,9.1602691253733,678.208357468651,40465895.6021272,674030447.916278,13.6655959853335
"24",32766.2746832228,12846.8853490661,5668.38183153771,4903552.7658983,613.577498196406,9.16053082622733,681.366679950826,40592689.40181,677908959.521599,13.6387730687278
"25",32772.8670882665,12905.3290033938,5628.92964143323,4911244.08917952,612.03758423518,9.16078202550662,684.482585371577,40720381.5154911,681809848.687434,13.609869937187
"26",32779.4595048433,12963.772835866,5590.17767409102,4918916.96905515,610.061319524607,9.16101964615567,687.563691655955,40848250.059613,685733238.285258,13.5792252777148
"27",32786.051909887,13022.2164901937,5551.97264951942,4926511.352805,607.683272532391,9.16124061111901,690.617616729012,40975573.1506184,689679251.186543,13.5471777773153
"28",32792.6442803312,13080.6596100879,5514.16128772681,4933967.18770884,604.938011726236,9.16144184334115,693.651978515798,41101628.9049497,693648010.262763,13.5140661229923
"29",32799.2365931098,13139.1018392598,5476.59030872153,4941224.42104646,601.860105573846,9.1616202657666,696.674394941364,41225695.4390497,697639638.38539,13.4802290017499
"30",32805.8288251564,13197.5428214203,5439.10643251196,4948223.00009765,598.484122542925,9.16177280133989,699.692483930763,41347050.8693608,701654258.425899,13.4460051005918
"31",32812.4209534048,13255.9822002806,5401.55637910644,4954902.87214219,594.844631101178,9.16189637300552,702.713863409046,41464973.3123257,705691993.255762,13.411733106522
"32",32819.0129547887,13314.4196195515,5363.78686851335,4961203.98445986,590.976199716308,9.16198790370801,705.746151301263,41578740.884387,709752965.746452,13.3777517065444
"33",32825.6048062418,13372.8547229443,5325.64462074103,4967066.28433046,586.913396856019,9.16204431639189,708.796965532466,41687631.7019872,713837298.769444,13.344399587663
"34",32832.1964846979,13431.2871541699,5286.97635579786,4972429.71903376,582.690790988015,9.16206253400166,711.873924027706,41790923.881569,717945115.196209,13.3120154368817
"35",32838.7879670906,13489.7165569393,5247.62879369218,4977234.23584956,578.342950580001,9.16203947948184,714.984644712035,41887895.5395748,722076537.898221,13.2809379412044
"36",32845.3792303537,13548.1425749637,5207.44865443237,4981419.78205764,573.904444099681,9.16197207577695,718.136745510503,41977824.7924474,726231689.746954,13.251505787635
"37",32851.970251421,13606.5648519541,5166.28265802677,4984926.30493778,569.409840014758,9.1618572458315,721.337844348162,42059989.7566292,730410693.61388,13.2240576631774
"38",32858.5610072261,13664.9830316215,5123.97752448376,4987693.75176978,564.893706792937,9.16169191259001,724.595559150064,42133668.5485629,734613672.370473,13.1989322548356
"39",32865.1514747028,13723.3967576769,5080.37997381169,4989662.06983341,560.390612901922,9.16147299899699,727.917507841259,42198139.2846911,738840748.888205,13.1764682496134
"40",32871.7416307848,13781.8056738314,5035.33672601892,4990771.20640846,555.935126809416,9.16119742799697,731.311308346799,42252680.0814563,743092046.038551,13.1570043345149
"41",32878.3314524059,13840.2094237961,4988.6945011138,4990961.10877472,551.561816983125,9.16086212253445,734.784578591735,42296569.0553011,747367686.692984,13.1408791965438
"42",32884.9209164997,13898.6076512819,4940.30001910471,4990171.72421197,547.305251890751,9.16046400555396,738.344936501118,42329084.3226681,751667793.722975,13.1284315227042
"43",32891.51,13957,4890,4988343,543.2,9.16,742,42349504,755992490,13.12
"44",32898.0986990624,14015.3864105688,4837.71220779199,4985452.30497511,539.271729679647,9.15947139269167,745.752838404219,42357402.1543768,760341908.254913,13.1158282410781
"45",32904.6870867301,14073.7680112368,4783.63858240886,4981626.69419969,535.510508902755,9.1588969259463,749.588326592765,42353536.6554288,764716220.656098,13.1157795611579
"46",32911.2752552683,14132.1462271596,4728.05210776275,4977030.64429263,531.897505543461,9.15829970595583,753.486790835414,42338961.3234241,769115609.231323,13.1196222011018
"47",32917.8632969419,14190.5224834932,4671.22576776579,4971828.63187283,528.4138874759,9.15770283891217,757.428557401942,42314729.9786303,773540256.008353,13.1271244017722
"48",32924.4513040161,14248.8982053934,4613.43254633013,4966185.13355919,525.040822574208,9.15712943100723,761.393952562127,42281896.4413154,777990343.014956,13.1380544040315
"49",32931.039368756,14307.2748180159,4554.9454273679,4960264.6259706,521.75947871252,9.15660258843294,765.363302585744,42241514.5317474,782466052.278898,13.1521804487422
"50",32937.6275834267,14365.6537465167,4496.03739479123,4954231.58572598,518.551023764973,9.15614541738121,769.316933742571,42194638.070194,786967565.827945,13.1692707767665
"51",32944.2160402932,14424.0364160515,4436.98143251227,4948250.48944421,515.396625605701,9.15578102404396,773.235172302383,42142320.8769232,791495065.689865,13.1890936289671
"52",32950.8048316207,14482.4242517761,4378.05052444316,4942485.81374419,512.277452108841,9.15553251461311,777.098344534958,42085616.7722028,796048733.892423,13.2114172462061
"53",32957.3940496743,14540.8186788464,4319.51765449603,4937102.03524483,509.174671148528,9.15542299528057,780.886776710072,42025579.5763007,800628752.463387,13.2360098693462
"54",32963.983786719,14599.2211224183,4261.65580658302,4932263.63056502,506.069450598897,9.15547557223826,784.580795097502,41963263.1094848,805235303.430523,13.2626397392496
"55",32970.57413502,14657.6330076474,4204.73796461628,4928135.07632366,502.942958334086,9.15571335167811,788.160725967023,41899721.1920229,809868568.821598,13.2910750967789
"56",32977.1651868423,14716.0557596897,4149.03711250793,4924880.84913965,499.776362228228,9.15615943979203,791.606895588414,41836007.644183,814528730.664378,13.3210841827963
"57",32983.757034451,14774.490803701,4094.82623417011,4922665.42563189,496.550830155461,9.15683694277193,794.899630231449,41773176.286233,819215970.986629,13.3524352381643
"58",32990.3497701113,14832.939564837,4042.37831351497,4921653.28241927,493.247529989919,9.15776896680974,798.019256165907,41712280.9384407,823930471.81612,13.3848965037453
"59",32996.9434860881,14891.4034682537,3991.96633445464,4922008.8961207,489.847629605738,9.15897861809737,800.946099661563,41654375.4210739,828672415.180615,13.4182362204018
"60",33003.5382746467,14949.8839391068,3943.86328090126,4923896.74335508,486.332296877054,9.16048900282675,803.660486988194,41600513.5544007,833441983.107882,13.4522226289961
"61",33010.1342280521,15008.3824025522,3898.34213676697,4927481.3007413,482.682699678002,9.16232322718978,806.142744415577,41551749.1586888,838239357.625688,13.4866239703907
"62",33016.7314385694,15066.9002837456,3855.6758859639,4932927.04489826,478.880005882719,9.16450439737838,808.373198213488,41509136.0542061,843064720.761798,13.5212084854479
"63",33023.3299984636,15125.4390078429,3816.1375124042,4940398.45244486,474.90538336534,9.16705561958449,810.332174651703,41473728.0612206,847918254.54398,13.5557444150302
"64",33029.93,15184,3780,4950060,470.74,9.17,812,41446579,852800141,13.59
"65",33036.5314624003,15242.5835571243,3747.48200098491,4962008.99757717,466.37500319884,9.17331814696553,813.358844146088,41428550.0739625,857710541.941405,13.6237678671125
"66",33043.1341127137,15301.1854631297,3718.58484087845,4976074.08876822,461.841458526015,9.17682067741645,814.398251449412,41419732.0191266,862649538.314866,13.6569381866945
"67",33049.7376049461,15359.8003736821,3693.25551352159,4992016.75055959,457.180411083688,9.18027571043681,815.10960988735,41420022.9546611,867617190.850832,13.6894255149656
"68",33056.3415931034,15418.4229444469,3671.44101275532,5009598.45993771,452.432905974018,9.18345136511067,815.48430743728,41429320.9997347,872613560.279753,13.7211444081453
"69",33062.9457311915,15477.04783109,3653.08833242061,5028580.69388903,447.639988299166,9.18611576052207,815.513732076579,41447524.2735162,877638707.332081,13.7520094224533
"70",33069.5496732162,15535.669689277,3638.14446635846,5048724.92939999,442.842703161293,9.18803701575508,815.189271782625,41474530.8951744,882692692.738265,13.781935114109
"71",33076.1530731835,15594.2831746735,3626.55640840984,5069792.64345703,438.08209566256,9.18898324989374,814.502314532797,41510238.983878,887775577.228755,13.8108360393321
"72",33082.7555850993,15652.8829429453,3618.27115241573,5091545.31304658,433.399210905128,9.18872258202212,813.444248304472,41554546.6587958,892887421.534003,13.8386267543423
"73",33089.3568629694,15711.4636497579,3613.23569221712,5113744.4151551,428.835093991156,9.18702313122427,812.006461075029,41607352.0390965,898028286.384458,13.865221815359
"74",33095.9565607998,15770.019950777,3611.39702165499,5136151.42676901,424.430790022807,9.18365301658425,810.180340821844,41668553.2439489,903198232.51057,13.8905357786018
"75",33102.5543325964,15828.5465016684,3612.70213457032,5158527.82487475,420.227344102241,9.1783803571861,807.957275522297,41738048.3925217,908397320.642791,13.9144832002904
"76",33109.1498323651,15887.0379580976,3617.09802480409,5180635.08645877,416.265801331618,9.17097327211388,805.328653153764,41815735.6039837,913625611.511569,13.9369786366443
